Latitude,Longitude,Restaurants_Count,Restaurants_Lat,Restaurants_Lon,Fast Food_Count,Fast Food_Lat,Fast Food_Lon,Universities_Count,Universities_Lat,Universities_Lon,Schools_Count,Schools_Lat,Schools_Lon,Kindergartens_Count,Kindergartens_Lat,Kindergartens_Lon,Hospitals_Count,Hospitals_Lat,Hospitals_Lon,Pharmacies_Count,Pharmacies_Lat,Pharmacies_Lon,Clinics_Count,Clinics_Lat,Clinics_Lon,Malls_Count,Malls_Lat,Malls_Lon,Supermarkets_Count,Supermarkets_Lat,Supermarkets_Lon,Banks_Count,Banks_Lat,Banks_Lon,Fitness Centres_Count,Fitness Centres_Lat,Fitness Centres_Lon,Swimming Pools_Count,Swimming Pools_Lat,Swimming Pools_Lon,Parks_Count,Parks_Lat,Parks_Lon,Bus Stops_Count,Bus Stops_Lat,Bus Stops_Lon
-12.085133683930286,-77.09409531208384,15,-12.0790608,-77.0877914,6,-12.078706,-77.0878707,0,0,0,16,-12.0850844,-77.0856748,34,-12.0854393,-77.0881665,0,0,0,5,-12.0840542,-77.0897453,2,-12.0781777,-77.0951455,0,0,0,2,-12.0792883,-77.0884094,7,-12.0776301,-77.0936896,1,-12.0767561,-77.0940255,0,0,0,0,0,0,2,-12.0774023,-77.0928909
-12.0709645,-77.0520516,58,-12.0789386,-77.0490825,9,-12.0661348,-77.0474055,1,-12.0721191,-77.0435112,32,-12.06867,-77.04873,43,-12.0656529,-77.0463038,1,-12.071483,-77.0498354,27,-12.0740443,-77.0497036,3,-12.0780341,-77.0535756,4,-12.0674383,-77.0507454,2,-12.0657587,-77.0485241,16,-12.0663437,-77.0502479,4,-12.0735357,-77.0505589,0,0,0,0,0,0,13,-12.075003,-77.0459627
-12.106591,-76.9846506,9,-12.1103729,-76.9769174,1,-12.1103688,-76.9768254,0,0,0,7,-12.1034787,-76.977786,11,-12.1107967,-76.9791047,0,0,0,5,-12.1113803,-76.9891893,2,-12.1120682,-76.9890997,0,0,0,1,-12.111145,-76.9866226,8,-12.1120132,-76.9909475,0,0,0,0,0,0,0,0,0,12,-12.108734,-76.978692
-12.07761511617663,-77.10351902546616,8,-12.0789013,-77.1076297,0,0.0,0.0,0,0,0,22,-12.0794409,-77.1041442,40,-12.0781729,-77.1040987,0,0,0,2,-12.0687164,-77.1043409,1,-12.0781777,-77.0951455,0,0,0,0,0.0,0.0,4,-12.0703679,-77.1068257,0,0,0,0,0,0,0,0,0,10,-12.0756429,-77.0967151
-12.1661626,-77.0245367,28,-12.1672988,-77.0283183,1,-12.1731681,-77.0200486,0,0,0,17,-12.1674427,-77.0247372,27,-12.1654993,-77.025398,0,0,0,22,-12.1680526,-77.0253594,1,-12.1665818,-77.0236205,0,0,0,1,-12.1578729,-77.0233101,4,-12.1683605,-77.0256926,0,0,0,0,0,0,0,0,0,11,-12.1597668,-77.0189703
-12.0743317,-77.04613909999999,63,-12.0789386,-77.0490825,10,-12.0661348,-77.0474055,1,-12.0721191,-77.0435112,31,-12.06867,-77.04873,24,-12.0656529,-77.0463038,1,-12.071483,-77.0498354,28,-12.0740443,-77.0497036,7,-12.0772823,-77.0384851,4,-12.0674383,-77.0507454,2,-12.0657587,-77.0485241,16,-12.0663437,-77.0502479,3,-12.0735357,-77.0505589,0,0,0,0,0,0,11,-12.075003,-77.0459627
-12.078525,-77.036408,68,-12.0856567,-77.0349593,2,-12.081223,-77.0336972,2,-12.0743421,-77.0358044,35,-12.07593,-77.04146,21,-12.0715836,-77.0392941,0,0,0,33,-12.0856343,-77.0347222,8,-12.0772823,-77.0384851,0,0,0,3,-12.0817726,-77.0357032,27,-12.0736876,-77.0388046,0,0,0,0,0,0,0,0,0,27,-12.0772359,-77.029022
-12.130013813329825,-77.01913619093831,41,-12.1324083,-77.0265949,6,-12.1296658,-77.0245217,0,0,0,10,-12.1231517,-77.0201028,22,-12.124262,-77.0198657,0,0,0,8,-12.1335541,-77.0177295,0,0.0,0.0,1,-12.1366496,-77.017692,4,-12.1295635,-77.0223023,10,-12.125732,-77.0204333,1,-12.1294765,-77.0220782,0,0,0,0,0,0,18,-12.1279188,-77.0268176
-12.0813709,-77.0587166,37,-12.0786989,-77.0648851,7,-12.0757071,-77.0527747,1,-12.0850544,-77.0547538,26,-12.0881595,-77.0620646,45,-12.07934,-77.06017,1,-12.0877134,-77.0546996,15,-12.0829411,-77.0670108,8,-12.0780341,-77.0535756,0,0,0,0,0.0,0.0,9,-12.0770975,-77.064577,0,0,0,0,0,0,0,0,0,19,-12.0789129,-77.0571038
-12.079186236119265,-76.98660629090591,26,-12.0737972,-76.9881109,1,-12.080471,-76.9930121,0,0,0,23,-12.0732892,-76.9868851,33,-12.0774882,-76.9782973,0,0,0,20,-12.0766195,-76.9894145,4,-12.0732067,-76.9920857,0,0,0,0,0.0,0.0,6,-12.0762799,-76.9872512,0,0,0,0,0,0,0,0,0,15,-12.0774699,-76.9889081
-12.1214562,-77.00655990000001,22,-12.1279766,-77.0011381,2,-12.1207185,-77.0108977,0,0,0,16,-12.1235041,-77.0153415,36,-12.1230225,-77.0055278,0,0,0,23,-12.1278543,-77.0092812,4,-12.1277091,-77.0076635,0,0,0,0,0.0,0.0,7,-12.1270283,-77.0021101,1,-12.1208161,-77.0108291,0,0,0,0,0,0,8,-12.1159447,-76.9993698
-12.077940217603077,-77.09625910256581,25,-12.0790608,-77.0877914,7,-12.078706,-77.0878707,0,0,0,22,-12.0794409,-77.1041442,48,-12.0781729,-77.1040987,0,0,0,4,-12.0840542,-77.0897453,3,-12.0750372,-77.091435,0,0,0,1,-12.0792883,-77.0884094,11,-12.0776301,-77.0936896,2,-12.0697913,-77.0984838,0,0,0,0,0,0,10,-12.0756429,-77.0967151
-12.1277055,-77.0075267,21,-12.1279766,-77.0011381,1,-12.1207185,-77.0108977,0,0,0,8,-12.1235041,-77.0153415,27,-12.1230225,-77.0055278,0,0,0,24,-12.1278543,-77.0092812,2,-12.1277091,-77.0076635,0,0,0,0,0.0,0.0,10,-12.1270283,-77.0021101,1,-12.1208161,-77.0108291,1,-12.1284972,-76.9984088,0,0,0,7,-12.1276825,-77.0096525
