link,referencia,latitud,longitud,direccion,distrito,etapa,fecha_entrega,financiamiento,areas_comunes,tipo,tipologia,piso,dormitorios,area,precio
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2502-malva-jesus-maria-lima-lima-grupo-tyc,MALVA,-12.076928,-77.0549693,Av. Brasil 1775,Jesus Maria,Entrega inmediata,"31 de Octubre, 2023",Financiamiento Propio,"['Gimnasio', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de Internet', 'Sala de Niños', 'Techo Panorámico', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,3,Pisos: Entre 3 al 14,3,77.70 m2,"S/ 537,486"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2502-malva-jesus-maria-lima-lima-grupo-tyc,MALVA,-12.076928,-77.0549693,Av. Brasil 1775,Jesus Maria,Entrega inmediata,"31 de Octubre, 2023",Financiamiento Propio,"['Gimnasio', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de Internet', 'Sala de Niños', 'Techo Panorámico', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,6,"Pisos: 3, 13, 17, 18, 20",3,76.78 m2,"S/ 521,804"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2502-malva-jesus-maria-lima-lima-grupo-tyc,MALVA,-12.076928,-77.0549693,Av. Brasil 1775,Jesus Maria,Entrega inmediata,"31 de Octubre, 2023",Financiamiento Propio,"['Gimnasio', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de Internet', 'Sala de Niños', 'Techo Panorámico', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,7,"Pisos: 4, 5, 13, 14, 16",3,78.00 m2,"S/ 522,664"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2502-malva-jesus-maria-lima-lima-grupo-tyc,MALVA,-12.076928,-77.0549693,Av. Brasil 1775,Jesus Maria,Entrega inmediata,"31 de Octubre, 2023",Financiamiento Propio,"['Gimnasio', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de Internet', 'Sala de Niños', 'Techo Panorámico', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,8,"Pisos: 4, 5, 7, 20",2,66.38 m2,"S/ 445,220"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2502-malva-jesus-maria-lima-lima-grupo-tyc,MALVA,-12.076928,-77.0549693,Av. Brasil 1775,Jesus Maria,Entrega inmediata,"31 de Octubre, 2023",Financiamiento Propio,"['Gimnasio', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de Internet', 'Sala de Niños', 'Techo Panorámico', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,5B,"Pisos: 16, 18, 19",2,60.33 m2,"S/ 422,341"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2769-patio-la-paz-san-miguel-lima-lima-paz,Av. La Paz 2551
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2769-patio-la-paz-san-miguel-lima-lima-paz,Patio La Paz,-12.079547136588465,-77.10609539017598,Av. La Paz 2551,San Miguel,En planos,"30 de Diciembre, 2025",Banco Interbank,"['Área de juegos para niños', 'Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala de Niños', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,A15,Piso: 1,2,77.58 m2,"S/ 378,508"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2769-patio-la-paz-san-miguel-lima-lima-paz,Patio La Paz,-12.079547136588465,-77.10609539017598,Av. La Paz 2551,San Miguel,En planos,"30 de Diciembre, 2025",Banco Interbank,"['Área de juegos para niños', 'Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala de Niños', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,A4,"Pisos: 3, 8, 12",3,75.28 m2,"S/ 398,708"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2769-patio-la-paz-san-miguel-lima-lima-paz,Patio La Paz,-12.079547136588465,-77.10609539017598,Av. La Paz 2551,San Miguel,En planos,"30 de Diciembre, 2025",Banco Interbank,"['Área de juegos para niños', 'Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala de Niños', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,A7,"Pisos: 3, 5, 11",3,68.83 m2,"S/ 363,004"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2769-patio-la-paz-san-miguel-lima-lima-paz,Patio La Paz,-12.079547136588465,-77.10609539017598,Av. La Paz 2551,San Miguel,En planos,"30 de Diciembre, 2025",Banco Interbank,"['Área de juegos para niños', 'Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala de Niños', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,A7A,Piso: 1,3,86.20 m2,"S/ 412,565"
